"HMM Profile";"Profile Length";"locus_tag";"Gene Length";"E Value";"Profile Start";"Profile End";"Gene Start";"Gene End";"Coverage";"HMM_Profile_simple";"HK"
"CBM6.hmm";138;"PROKKA_43756";941;3e-29;18;137;731;847;0,862318841;"CBM6";"PROKKA_43756_1_CBM6"
"GH64.hmm";367;"PROKKA_43757";815;5,6e-67;3;367;34;438;0,991825613;"GH64";"PROKKA_43757_1_GH64"
"CBM6.hmm";138;"PROKKA_43757";815;1,5e-29;18;137;605;721;0,862318841;"CBM6";"PROKKA_43757_1_CBM6"
"PL6.hmm";372;"PROKKA_43845";806;5,1e-83;18;371;2;375;0,948924731;"PL6";"PROKKA_43845_1_PL6"
"GT25.hmm";181;"PROKKA_43928";303;2,1e-18;4;180;9;195;0,972375691;"GT25";"PROKKA_43928_1_GT25"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_43986";609;3,2e-24;1;169;327;517;0,988235294;"GT2";"PROKKA_43986_1_GT2"
"GT9.hmm";225;"PROKKA_44151";336;4,3e-33;3;198;60;283;0,866666667;"GT9";"PROKKA_44151_1_GT9"
"GT83.hmm";540;"PROKKA_44225";556;1,4e-67;6;482;4;488;0,881481481;"GT83";"PROKKA_44225_1_GT83"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_44226";315;7,2e-30;1;157;8;160;0,917647059;"GT2";"PROKKA_44226_1_GT2"
"GT4.hmm";160;"PROKKA_44241";399;2,1e-21;7;159;212;369;0,95;"GT4";"PROKKA_44241_1_GT4"
"CE1.hmm";227;"PROKKA_44274";376;1,1e-22;7;209;33;262;0,889867841;"CE1";"PROKKA_44274_1_CE1"
"GH20.hmm";337;"PROKKA_44282";698;6,9e-34;12;335;142;462;0,958456973;"GH20";"PROKKA_44282_1_GH20"
"GH109.hmm";126;"PROKKA_44296";465;2,5e-44;1;126;53;181;0,992063492;"GH109";"PROKKA_44296_1_GH109"
"GT4.hmm";160;"PROKKA_44367";387;3,2e-33;6;155;209;356;0,93125;"GT4";"PROKKA_44367_1_GT4"
"GT4.hmm";160;"PROKKA_44369";370;2,1e-29;7;142;190;326;0,84375;"GT4";"PROKKA_44369_1_GT4"
"GH23.hmm";135;"PROKKA_44447";299;6e-22;2;126;90;226;0,918518519;"GH23";"PROKKA_44447_1_GH23"
"GT51.hmm";177;"PROKKA_44637";884;1,4e-61;1;176;55;229;0,988700565;"GT51";"PROKKA_44637_1_GT51"
"GH23.hmm";135;"PROKKA_44691";347;2e-28;6;125;37;158;0,881481481;"GH23";"PROKKA_44691_1_GH23"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_44734";241;1e-30;2;164;6;167;0,952941176;"GT2";"PROKKA_44734_1_GT2"
"CBM6.hmm";138;"PROKKA_44742";912;1,1e-25;13;137;696;822;0,898550725;"CBM6";"PROKKA_44742_1_CBM6"
"GH29.hmm";346;"PROKKA_44749";617;9,1e-90;25;346;154;506;0,927745665;"GH29";"PROKKA_44749_1_GH29"
"GH29.hmm";346;"PROKKA_44752";498;2,5e-78;9;346;4;388;0,973988439;"GH29";"PROKKA_44752_1_GH29"
"GH1.hmm";429;"PROKKA_44811";450;4,1e-154;3;427;11;443;0,988344988;"GH1";"PROKKA_44811_1_GH1"
"GH108.hmm";86;"PROKKA_44822";197;1,4e-23;2;86;14;112;0,976744186;"GH108";"PROKKA_44822_1_GH108"
"GH23.hmm";135;"PROKKA_44851";319;2,8e-26;6;131;34;161;0,925925926;"GH23";"PROKKA_44851_1_GH23"
"GT30.hmm";177;"PROKKA_44879";420;1,5e-48;10;176;54;216;0,937853107;"GT30";"PROKKA_44879_1_GT30"
"GT4.hmm";160;"PROKKA_44939";372;2,4e-18;5;146;198;329;0,88125;"GT4";"PROKKA_44939_1_GT4"
"GT4.hmm";160;"PROKKA_44941";415;1,4e-28;6;158;225;383;0,95;"GT4";"PROKKA_44941_1_GT4"
"GT4.hmm";160;"PROKKA_45002";376;1,5e-31;6;156;188;338;0,9375;"GT4";"PROKKA_45002_1_GT4"
"PL6.hmm";372;"PROKKA_45092";580;7e-49;2;370;23;374;0,989247312;"PL6";"PROKKA_45092_1_PL6"
"CE1.hmm";227;"PROKKA_45140";216;9,3e-17;23;207;15;197;0,810572687;"CE1";"PROKKA_45140_1_CE1"
"GT4.hmm";160;"PROKKA_45290";379;8,4e-17;4;153;190;347;0,93125;"GT4";"PROKKA_45290_1_GT4"
"GT4.hmm";160;"PROKKA_45295";364;5,7e-31;9;149;191;332;0,875;"GT4";"PROKKA_45295_1_GT4"
"GT4.hmm";160;"PROKKA_45298";346;5,5e-25;5;157;172;317;0,95;"GT4";"PROKKA_45298_1_GT4"
"PL12_3.hmm";144;"PROKKA_45300";552;1,5e-25;9;133;332;457;0,861111111;"PL12";"PROKKA_45300_1_PL12"
"GH23.hmm";135;"PROKKA_45376";416;3,1e-26;3;120;129;261;0,866666667;"GH23";"PROKKA_45376_1_GH23"
"GH73.hmm";128;"PROKKA_45392";347;2,3e-21;12;125;205;333;0,8828125;"GH73";"PROKKA_45392_1_GH73"
"GH16.hmm";189;"PROKKA_45478";558;6,3e-53;2;189;334;556;0,989417989;"GH16";"PROKKA_45478_1_GH16"
"GH149.hmm";1128;"PROKKA_45479";1153;0;2;1128;22;1150;0,99822695;"GH149";"PROKKA_45479_1_GH149"
"GH17.hmm";311;"PROKKA_45480";422;3,8e-24;55;309;126;376;0,816720257;"GH17";"PROKKA_45480_1_GH17"
"GH13_18.hmm";343;"PROKKA_45568";582;1,5e-141;2;343;94;434;0,994169096;"GH13";"PROKKA_45568_1_GH13"
"GH1.hmm";429;"PROKKA_45633";445;3,2e-151;2;427;7;443;0,990675991;"GH1";"PROKKA_45633_1_GH1"
"PL12_3.hmm";144;"PROKKA_45766";544;3,7e-25;10;144;326;457;0,930555556;"PL12";"PROKKA_45766_1_PL12"
"GT4.hmm";160;"PROKKA_45788";358;6,2e-16;11;153;180;324;0,8875;"GT4";"PROKKA_45788_1_GT4"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_45798";318;1,3e-27;1;154;6;156;0,9;"GT2";"PROKKA_45798_1_GT2"
"GH20.hmm";337;"PROKKA_45868";778;5,7e-124;7;336;161;516;0,976261128;"GH20";"PROKKA_45868_1_GH20"
"CBM9.hmm";182;"PROKKA_45871";355;1,5e-42;1;165;40;226;0,901098901;"CBM9";"PROKKA_45871_1_CBM9"
"GH130.hmm";296;"PROKKA_45872";322;2,1e-93;1;296;17;317;0,996621622;"GH130";"PROKKA_45872_1_GH130"
"GH92.hmm";491;"PROKKA_45874";751;3e-186;4;491;248;739;0,99185336;"GH92";"PROKKA_45874_1_GH92"
"GT5.hmm";472;"PROKKA_46029";489;6,5e-171;1;471;7;481;0,995762712;"GT5";"PROKKA_46029_1_GT5"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_46073";338;6,8e-32;1;142;9;154;0,829411765;"GT2";"PROKKA_46073_1_GT2"
"GT4.hmm";160;"PROKKA_46077";398;2,3e-42;8;159;212;368;0,94375;"GT4";"PROKKA_46077_1_GT4"
"GT4.hmm";160;"PROKKA_46079";378;3,1e-38;3;158;187;340;0,96875;"GT4";"PROKKA_46079_1_GT4"
"GT4.hmm";160;"PROKKA_46084";383;2e-31;6;157;202;351;0,94375;"GT4";"PROKKA_46084_1_GT4"
"GH30_2.hmm";417;"PROKKA_46112";486;1,6e-148;2;416;78;481;0,992805755;"GH30";"PROKKA_46112_1_GH30"
"CE1.hmm";227;"PROKKA_46115";274;8,8e-54;1;218;29;259;0,955947137;"CE1";"PROKKA_46115_1_CE1"
"GH29.hmm";346;"PROKKA_46118";583;3,3e-105;28;346;25;348;0,919075145;"GH29";"PROKKA_46118_1_GH29"
"GH88.hmm";329;"PROKKA_46124";396;3,7e-124;3;329;67;389;0,990881459;"GH88";"PROKKA_46124_1_GH88"
"CBM6.hmm";138;"PROKKA_46198";710;4,5e-27;18;136;355;470;0,855072464;"CBM6";"PROKKA_46198_1_CBM6"
"PL6.hmm";372;"PROKKA_46199";1514;3,4e-84;2;367;25;429;0,981182796;"PL6";"PROKKA_46199_1_PL6"
"PL7_5.hmm";267;"PROKKA_46199";1514;2,7e-85;1;266;1141;1414;0,992509363;"PL7";"PROKKA_46199_1_PL7"
"PL6.hmm";372;"PROKKA_46204";752;3,6e-148;2;370;31;401;0,989247312;"PL6";"PROKKA_46204_1_PL6"
"GH13.hmm";299;"PROKKA_46210";589;9,4e-63;12;293;96;452;0,939799331;"GH13";"PROKKA_46210_1_GH13"
"GH13_23.hmm";344;"PROKKA_46211";544;2,8e-159;1;343;29;380;0,994186047;"GH13";"PROKKA_46211_1_GH13"
"GH31.hmm";427;"PROKKA_46212";831;1,3e-137;1;426;255;696;0,995316159;"GH31";"PROKKA_46212_1_GH31"
"GT83.hmm";540;"PROKKA_46259";542;9e-90;9;493;4;475;0,896296296;"GT83";"PROKKA_46259_1_GT83"
"GT83.hmm";540;"PROKKA_46260";552;1,9e-61;6;455;6;452;0,831481481;"GT83";"PROKKA_46260_1_GT83"
"PL7_5.hmm";267;"PROKKA_46297";359;4,9e-69;25;265;57;338;0,898876404;"PL7";"PROKKA_46297_1_PL7"
"PL7_5.hmm";267;"PROKKA_46298";357;1,3e-69;6;266;57;346;0,973782772;"PL7";"PROKKA_46298_1_PL7"
"GT28.hmm";157;"PROKKA_46311";362;1,8e-49;1;157;192;348;0,993630573;"GT28";"PROKKA_46311_1_GT28"
"GH73.hmm";128;"PROKKA_46338";296;1,2e-35;4;128;97;224;0,96875;"GH73";"PROKKA_46338_1_GH73"
"GH29.hmm";346;"PROKKA_46375";612;4,1e-85;35;346;55;384;0,898843931;"GH29";"PROKKA_46375_1_GH29"
"GH141.hmm";527;"PROKKA_46376";721;5,3e-89;2;501;27;540;0,94686907;"GH141";"PROKKA_46376_1_GH141"
"GH141.hmm";527;"PROKKA_46377";748;1,3e-69;2;524;30;596;0,990512334;"GH141";"PROKKA_46377_1_GH141"
"GH30_2.hmm";417;"PROKKA_46378";487;2,3e-135;10;415;75;479;0,971223022;"GH30";"PROKKA_46378_1_GH30"
"GT51.hmm";177;"PROKKA_46509";783;1,6e-57;1;177;75;253;0,994350282;"GT51";"PROKKA_46509_1_GT51"
"GT19.hmm";354;"PROKKA_46555";370;4,4e-118;2;352;4;351;0,988700565;"GT19";"PROKKA_46555_1_GT19"
"GT51.hmm";177;"PROKKA_46637";874;3,8e-65;1;176;54;228;0,988700565;"GT51";"PROKKA_46637_1_GT51"
"GH81.hmm";622;"PROKKA_46718";1582;2,6e-123;12;603;53;663;0,950160772;"GH81";"PROKKA_46718_1_GH81"
"CBM6.hmm";138;"PROKKA_46718";1582;6,9e-26;8;137;859;989;0,934782609;"CBM6";"PROKKA_46718_1_CBM6"
"GT4.hmm";160;"PROKKA_46852";663;1,7e-29;6;153;192;333;0,91875;"GT4";"PROKKA_46852_1_GT4"
"CBM4.hmm";126;"PROKKA_47077";4323;1,3e-18;10;126;1842;1959;0,920634921;"CBM4";"PROKKA_47077_1_CBM4"
"GH1.hmm";429;"PROKKA_47140";455;1e-145;4;428;10;448;0,988344988;"GH1";"PROKKA_47140_1_GH1"
"CE14.hmm";124;"PROKKA_47165";239;3,7e-23;1;124;6;111;0,991935484;"CE14";"PROKKA_47165_1_CE14"
"GH23.hmm";135;"PROKKA_47197";531;3,5e-24;5;126;113;252;0,896296296;"GH23";"PROKKA_47197_1_GH23"
"GT4.hmm";160;"PROKKA_47238";406;5,7e-20;13;159;224;376;0,9125;"GT4";"PROKKA_47238_1_GT4"
"PL12.hmm";138;"PROKKA_47239";605;2e-19;1;130;391;517;0,934782609;"PL12";"PROKKA_47239_1_PL12"
"GT4.hmm";160;"PROKKA_47249";397;6,5e-24;7;157;220;369;0,9375;"GT4";"PROKKA_47249_1_GT4"
"PL12_3.hmm";144;"PROKKA_47291";552;1,7e-24;6;134;331;458;0,888888889;"PL12";"PROKKA_47291_1_PL12"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_47325";315;7e-30;1;155;6;157;0,905882353;"GT2";"PROKKA_47325_1_GT2"
"GT4.hmm";160;"PROKKA_47329";376;1,2e-31;8;159;185;342;0,94375;"GT4";"PROKKA_47329_1_GT4"
"PL7_5.hmm";267;"PROKKA_47359";348;5,3e-97;1;266;37;339;0,992509363;"PL7";"PROKKA_47359_1_PL7"
"CE11.hmm";271;"PROKKA_47372";469;3,1e-72;1;219;10;229;0,804428044;"CE11";"PROKKA_47372_1_CE11"
"GH16.hmm";189;"PROKKA_47509";557;6,1e-53;2;189;333;555;0,989417989;"GH16";"PROKKA_47509_1_GH16"
"GT4.hmm";160;"PROKKA_47540";378;1,3e-30;8;157;201;347;0,93125;"GT4";"PROKKA_47540_1_GT4"
"GH16.hmm";189;"PROKKA_47549";280;8,1e-55;3;189;48;277;0,984126984;"GH16";"PROKKA_47549_1_GH16"
"GH149.hmm";1128;"PROKKA_47551";1153;0;2;1127;22;1149;0,997340426;"GH149";"PROKKA_47551_1_GH149"
"GH17.hmm";311;"PROKKA_47552";428;1,5e-27;46;309;113;384;0,845659164;"GH17";"PROKKA_47552_1_GH17"
"GH30_1.hmm";416;"PROKKA_47553";485;3e-170;2;415;37;477;0,992788462;"GH30";"PROKKA_47553_1_GH30"
"GH17.hmm";311;"PROKKA_47554";786;1,9e-25;20;307;540;785;0,922829582;"GH17";"PROKKA_47554_1_GH17"
"GH3.hmm";216;"PROKKA_47690";774;1,4e-63;3;215;111;332;0,981481481;"GH3";"PROKKA_47690_1_GH3"
"CBM57.hmm";147;"PROKKA_47691";903;1,1e-25;14;146;737;895;0,897959184;"CBM57";"PROKKA_47691_1_CBM57"
"GH136.hmm";491;"PROKKA_47692";543;1,4e-98;3;489;39;538;0,989816701;"GH136";"PROKKA_47692_1_GH136"
"GT19.hmm";354;"PROKKA_47729";373;4,4e-120;2;352;4;352;0,988700565;"GT19";"PROKKA_47729_1_GT19"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_47782";274;1,2e-16;1;167;5;163;0,976470588;"GT2";"PROKKA_47782_1_GT2"
"GH20.hmm";337;"PROKKA_47830";752;7,4e-124;8;335;144;493;0,970326409;"GH20";"PROKKA_47830_1_GH20"
"GH23.hmm";135;"PROKKA_47981";223;9,1e-33;9;125;95;210;0,859259259;"GH23";"PROKKA_47981_1_GH23"
"GH29.hmm";346;"PROKKA_48006";613;1,3e-94;14;346;21;361;0,959537572;"GH29";"PROKKA_48006_1_GH29"
"GH141.hmm";527;"PROKKA_48016";800;5,1e-63;2;523;24;546;0,988614801;"GH141";"PROKKA_48016_1_GH141"
"GH16.hmm";189;"PROKKA_48094";563;3,1e-51;2;188;339;560;0,984126984;"GH16";"PROKKA_48094_1_GH16"
"GH149.hmm";1128;"PROKKA_48096";1153;0;2;1128;22;1150;0,99822695;"GH149";"PROKKA_48096_1_GH149"
"GH30_1.hmm";416;"PROKKA_48097";545;3e-149;2;415;79;539;0,992788462;"GH30";"PROKKA_48097_1_GH30"
"GH3.hmm";216;"PROKKA_48098";604;3e-65;3;215;104;318;0,981481481;"GH3";"PROKKA_48098_1_GH3"
"GH17.hmm";311;"PROKKA_48099";454;8,5e-28;13;309;94;410;0,951768489;"GH17";"PROKKA_48099_1_GH17"
"GH30_1.hmm";416;"PROKKA_48100";485;7,4e-165;3;416;39;478;0,992788462;"GH30";"PROKKA_48100_1_GH30"
"GH31.hmm";427;"PROKKA_48225";801;1,3e-166;1;427;230;675;0,99765808;"GH31";"PROKKA_48225_1_GH31"
"PL7_5.hmm";267;"PROKKA_48265";369;5,3e-108;1;266;45;360;0,992509363;"PL7";"PROKKA_48265_1_PL7"
"GH103.hmm";295;"PROKKA_48266";412;1,1e-104;1;294;38;331;0,993220339;"GH103";"PROKKA_48266_1_GH103"
"GT9.hmm";225;"PROKKA_48379";347;7,1e-37;2;199;74;300;0,875555556;"GT9";"PROKKA_48379_1_GT9"
"GT51.hmm";177;"PROKKA_48395";828;1,4e-46;11;176;71;235;0,93220339;"GT51";"PROKKA_48395_1_GT51"
"CE10.hmm";341;"PROKKA_48399";867;6,4e-17;57;332;357;618;0,806451613;"CE10";"PROKKA_48399_1_CE10"
"GT11.hmm";276;"PROKKA_48436";287;6,9e-83;1;259;1;273;0,934782609;"GT11";"PROKKA_48436_1_GT11"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_48438";264;1,2e-32;1;158;5;164;0,923529412;"GT2";"PROKKA_48438_1_GT2"
"AA3_2.hmm";568;"PROKKA_48590";539;4,8e-164;2;568;3;535;0,996478873;"AA3";"PROKKA_48590_1_AA3"
"PL6_3.hmm";371;"PROKKA_48645";1673;2,4e-79;2;366;1193;1554;0,981132075;"PL6";"PROKKA_48645_1_PL6"
"GH3.hmm";216;"PROKKA_48683";750;2,6e-72;3;216;102;324;0,986111111;"GH3";"PROKKA_48683_1_GH3"
"CE1.hmm";227;"PROKKA_48761";218;7,9e-24;26;209;15;198;0,806167401;"CE1";"PROKKA_48761_1_CE1"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_48816";240;9,6e-32;2;168;6;172;0,976470588;"GT2";"PROKKA_48816_1_GT2"
"GT51.hmm";177;"PROKKA_48922";760;1,6e-60;1;177;63;239;0,994350282;"GT51";"PROKKA_48922_1_GT51"
"GT51.hmm";177;"PROKKA_48939";785;1,5e-47;18;176;66;224;0,892655367;"GT51";"PROKKA_48939_1_GT51"
"GT4.hmm";160;"PROKKA_48944";367;7,5e-25;3;156;175;336;0,95625;"GT4";"PROKKA_48944_1_GT4"
"GT4.hmm";160;"PROKKA_48945";355;3,3e-16;4;154;173;322;0,9375;"GT4";"PROKKA_48945_1_GT4"
"GT4.hmm";160;"PROKKA_49043";406;3,3e-17;10;147;218;360;0,85625;"GT4";"PROKKA_49043_1_GT4"
"GT4.hmm";160;"PROKKA_49050";386;3,7e-35;10;144;210;343;0,8375;"GT4";"PROKKA_49050_1_GT4"
"PL7_5.hmm";267;"PROKKA_49078";300;1,7e-101;1;267;37;296;0,996254682;"PL7";"PROKKA_49078_1_PL7"
"PL29.hmm";301;"PROKKA_49108";558;4,3e-57;1;299;59;397;0,990033223;"PL29";"PROKKA_49108_1_PL29"
"GT19.hmm";354;"PROKKA_49137";370;2,8e-116;2;347;4;346;0,974576271;"GT19";"PROKKA_49137_1_GT19"
"CBM9.hmm";182;"PROKKA_49144";718;1,1e-21;1;155;20;185;0,846153846;"CBM9";"PROKKA_49144_1_CBM9"
"CE1.hmm";227;"PROKKA_49161";279;1,2e-46;1;224;21;271;0,982378855;"CE1";"PROKKA_49161_1_CE1"
"GH109.hmm";126;"PROKKA_49303";394;2,7e-23;1;122;37;150;0,96031746;"GH109";"PROKKA_49303_1_GH109"
"GT19.hmm";354;"PROKKA_49322";363;1,3e-113;2;353;4;343;0,991525424;"GT19";"PROKKA_49322_1_GT19"
"GH77.hmm";494;"PROKKA_49340";724;4,6e-145;2;488;179;718;0,983805668;"GH77";"PROKKA_49340_1_GH77"
"GH13_11.hmm";351;"PROKKA_49342";705;5,8e-162;1;351;182;531;0,997150997;"GH13";"PROKKA_49342_1_GH13"
"GH13_9.hmm";301;"PROKKA_49344";748;5,3e-161;1;301;293;593;0,996677741;"GH13";"PROKKA_49344_1_GH13"
"GT5.hmm";472;"PROKKA_49345";521;1,5e-120;2;472;3;519;0,995762712;"GT5";"PROKKA_49345_1_GT5"
"CE1.hmm";227;"PROKKA_49429";275;4,6e-32;1;222;53;268;0,973568282;"CE1";"PROKKA_49429_1_CE1"
"CBM48.hmm";76;"PROKKA_49445";737;1,1e-19;2;71;129;216;0,907894737;"CBM48";"PROKKA_49445_1_CBM48"
"GH13_9.hmm";301;"PROKKA_49445";737;3,2e-159;1;301;283;583;0,996677741;"GH13";"PROKKA_49445_1_GH13"
"GT28.hmm";157;"PROKKA_49476";367;2e-47;1;157;196;352;0,993630573;"GT28";"PROKKA_49476_1_GT28"
"GH3.hmm";216;"PROKKA_49518";331;3e-41;13;215;61;277;0,935185185;"GH3";"PROKKA_49518_1_GH3"
"PL7_5.hmm";267;"PROKKA_49635";364;3,4e-97;2;266;47;355;0,988764045;"PL7";"PROKKA_49635_1_PL7"
"GT2_Glyco_tranf_2_3.hmm";230;"PROKKA_49703";492;7,4e-25;5;228;56;281;0,969565217;"GT2";"PROKKA_49703_1_GT2"
"GT4.hmm";160;"PROKKA_49735";361;4,4e-25;3;153;175;322;0,9375;"GT4";"PROKKA_49735_1_GT4"
"CE4.hmm";130;"PROKKA_49738";324;1,2e-28;6;127;100;280;0,930769231;"CE4";"PROKKA_49738_1_CE4"
"GT4.hmm";160;"PROKKA_49739";387;7,6e-32;10;158;212;357;0,925;"GT4";"PROKKA_49739_1_GT4"
"GT4.hmm";160;"PROKKA_49742";360;1e-23;6;150;177;319;0,9;"GT4";"PROKKA_49742_1_GT4"
"CE4.hmm";130;"PROKKA_49758";281;3e-23;19;127;23;142;0,830769231;"CE4";"PROKKA_49758_1_CE4"
"GT26.hmm";171;"PROKKA_49761";246;4,5e-37;4;165;57;220;0,941520468;"GT26";"PROKKA_49761_1_GT26"
"GT4.hmm";160;"PROKKA_49763";367;9,4e-30;5;159;181;339;0,9625;"GT4";"PROKKA_49763_1_GT4"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_49765";285;3,9e-21;1;166;5;162;0,970588235;"GT2";"PROKKA_49765_1_GT2"
"GH113.hmm";306;"PROKKA_49795";336;2,3e-113;1;306;25;329;0,996732026;"GH113";"PROKKA_49795_1_GH113"
"GT2_Glyco_tranf_2_3.hmm";230;"PROKKA_49799";497;4,3e-26;4;227;56;281;0,969565217;"GT2";"PROKKA_49799_1_GT2"
"CE11.hmm";271;"PROKKA_49821";306;3,4e-114;1;270;4;276;0,992619926;"CE11";"PROKKA_49821_1_CE11"
"GT28.hmm";157;"PROKKA_49827";374;2,6e-53;2;156;181;343;0,98089172;"GT28";"PROKKA_49827_1_GT28"
"GH23.hmm";135;"PROKKA_49834";545;7,9e-25;4;127;121;262;0,911111111;"GH23";"PROKKA_49834_1_GH23"
"GH73.hmm";128;"PROKKA_49847";290;1e-19;13;127;149;273;0,890625;"GH73";"PROKKA_49847_1_GH73"
"CE4.hmm";130;"PROKKA_49864";313;1,9e-32;4;125;70;271;0,930769231;"CE4";"PROKKA_49864_1_CE4"
"GT4.hmm";160;"PROKKA_49866";260;1e-36;8;149;81;218;0,88125;"GT4";"PROKKA_49866_1_GT4"
"GH73.hmm";128;"PROKKA_49959";317;8,4e-33;1;125;172;310;0,96875;"GH73";"PROKKA_49959_1_GH73"
"PL12.hmm";138;"PROKKA_50021";613;1,5e-23;3;138;280;423;0,97826087;"PL12";"PROKKA_50021_1_PL12"
"CBM67.hmm";176;"PROKKA_50022";956;1,4e-33;15;167;184;350;0,863636364;"CBM67";"PROKKA_50022_1_CBM67"
"GH78.hmm";504;"PROKKA_50022";956;6,1e-132;3;504;379;907;0,994047619;"GH78";"PROKKA_50022_1_GH78"
"CBM67.hmm";176;"PROKKA_50023";1194;1,8e-35;1;176;35;221;0,994318182;"CBM67";"PROKKA_50023_1_CBM67"
"GH78.hmm";504;"PROKKA_50023";1194;1,3e-65;37;502;292;732;0,922619048;"GH78";"PROKKA_50023_1_GH78"
"CBM67.hmm";176;"PROKKA_50028";1079;8,5e-28;2;168;146;320;0,943181818;"CBM67";"PROKKA_50028_1_CBM67"
"GH78.hmm";504;"PROKKA_50028";1079;6,7e-104;2;504;378;885;0,996031746;"GH78";"PROKKA_50028_1_GH78"
"PL37.hmm";635;"PROKKA_50029";639;2,9e-273;1;634;1;637;0,996850394;"PL37";"PROKKA_50029_1_PL37"
"PL28.hmm";277;"PROKKA_50030";694;1,2e-153;1;277;206;491;0,996389892;"PL28";"PROKKA_50030_1_PL28"
"PL24.hmm";466;"PROKKA_50031";817;1,1e-194;1;466;28;483;0,997854077;"PL24";"PROKKA_50031_1_PL24"
"GH3.hmm";216;"PROKKA_50204";761;2,8e-70;3;215;106;327;0,981481481;"GH3";"PROKKA_50204_1_GH3"
"CBM32.hmm";124;"PROKKA_50212";543;4,5e-19;10;119;59;170;0,879032258;"CBM32";"PROKKA_50212_1_CBM32"
"CBM6.hmm";138;"PROKKA_50212";543;4,6e-24;17;138;197;312;0,876811594;"CBM6";"PROKKA_50212_1_CBM6"
"CBM32.hmm";124;"PROKKA_50313";775;2,6e-19;11;122;42;162;0,89516129;"CBM32";"PROKKA_50313_1_CBM32"
"PL29.hmm";301;"PROKKA_50313";775;3,7e-77;2;301;219;535;0,993355482;"PL29";"PROKKA_50313_1_PL29"
"AA4.hmm";522;"PROKKA_50380";557;1,4e-93;35;511;27;554;0,911877395;"AA4";"PROKKA_50380_1_AA4"
"GT4.hmm";160;"PROKKA_50550";367;1,3e-37;6;157;188;336;0,94375;"GT4";"PROKKA_50550_1_GT4"
"GT4.hmm";160;"PROKKA_50557";381;6,7e-26;12;158;199;354;0,9125;"GT4";"PROKKA_50557_1_GT4"
"GT4.hmm";160;"PROKKA_50559";381;4,1e-33;12;159;202;350;0,91875;"GT4";"PROKKA_50559_1_GT4"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_50563";411;7,9e-35;1;155;7;161;0,905882353;"GT2";"PROKKA_50563_1_GT2"
"GT4.hmm";160;"PROKKA_50625";376;4,5e-29;7;159;192;346;0,95;"GT4";"PROKKA_50625_1_GT4"
"GT4.hmm";160;"PROKKA_50633";376;3,8e-21;6;153;196;346;0,91875;"GT4";"PROKKA_50633_1_GT4"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_50637";340;6,7e-30;1;166;6;172;0,970588235;"GT2";"PROKKA_50637_1_GT2"
"GH96.hmm";614;"PROKKA_50691";601;0;22;614;2;600;0,964169381;"GH96";"PROKKA_50691_1_GH96"
"PL7_5.hmm";267;"PROKKA_50710";370;1,3e-69;24;265;78;357;0,902621723;"PL7";"PROKKA_50710_1_PL7"
"GH29.hmm";346;"PROKKA_50779";634;1e-87;33;346;51;370;0,904624277;"GH29";"PROKKA_50779_1_GH29"
"GH29.hmm";346;"PROKKA_50789";525;2,6e-74;15;346;30;413;0,956647399;"GH29";"PROKKA_50789_1_GH29"
"CBM9.hmm";182;"PROKKA_50954";262;1e-33;1;181;54;258;0,989010989;"CBM9";"PROKKA_50954_1_CBM9"
"GH73.hmm";128;"PROKKA_51020";348;1,8e-36;2;128;76;205;0,984375;"GH73";"PROKKA_51020_1_GH73"
"GT28.hmm";157;"PROKKA_51025";365;1,6e-45;1;157;194;349;0,993630573;"GT28";"PROKKA_51025_1_GT28"
"GH13_18.hmm";343;"PROKKA_51113";591;1,3e-139;2;343;93;433;0,994169096;"GH13";"PROKKA_51113_1_GH13"
"GH13_8.hmm";293;"PROKKA_51206";676;1,2e-143;1;293;222;512;0,996587031;"GH13";"PROKKA_51206_1_GH13"
"CE14.hmm";124;"PROKKA_51240";841;1,3e-16;1;114;45;157;0,911290323;"CE14";"PROKKA_51240_1_CE14"
"GT11.hmm";276;"PROKKA_51367";294;7e-79;3;275;3;289;0,985507246;"GT11";"PROKKA_51367_1_GT11"
"PL7_5.hmm";267;"PROKKA_51671";403;3,1e-104;1;267;133;396;0,996254682;"PL7";"PROKKA_51671_1_PL7"
"GH53.hmm";342;"PROKKA_51696";354;6,8e-76;2;339;35;347;0,985380117;"GH53";"PROKKA_51696_1_GH53"
"GT9.hmm";225;"PROKKA_51728";321;4e-42;3;221;70;312;0,968888889;"GT9";"PROKKA_51728_1_GT9"
"CBM9.hmm";182;"PROKKA_51878";875;1,2e-19;1;148;44;199;0,807692308;"CBM9";"PROKKA_51878_1_CBM9"
"GT2_Glycos_transf_2.hmm";170;"PROKKA_51886";371;4,6e-23;1;153;41;196;0,894117647;"GT2";"PROKKA_51886_1_GT2"
